insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
110008;55232;15516;8116;11321;4886;2935;3074;10165;3524;457;240,7177243;33,95185996;24,77242888;6,422319475;7,711159737;120,8577681;17,75929978;10,69146608;6,726477024;7,711159737
103329;51893;15541;8136;10755;3882;2920;3050;10790;3775;458;225,6091703;33,93231441;23,48253275;6,375545852;8,242358079;113,3034934;17,76419214;8,475982533;6,659388646;8,242358079
104468;52463;15586;8156;10237;3222;2502;2960;9849;3556;459;227,5991285;33,95642702;22,30283224;5,450980392;7,747276688;114,2984749;17,76906318;7,019607843;6,448801743;7,747276688
105253;52856;15637;8176;10080;3618;2628;2858;11322;4965;460;228,8108696;33,99347826;21,91304348;5,713043478;10,79347826;114,9043478;17,77391304;7,865217391;6,213043478;10,79347826
107752;54106;15654;8196;11176;4196;2547;2760;10953;4016;461;233,7353579;33,95661605;24,24295011;5,52494577;8,711496746;117,3665944;17,77874187;9,101952278;5,986984816;8,711496746
109329;54895;15683;8216;11144;4184;3614;3748;8934;3071;462;236,6428571;33,94588745;24,12121212;7,822510823;6,647186147;118,8203463;17,78354978;9,056277056;8,112554113;6,647186147
107016;53739;15704;8236;11166;3580;3166;3426;10377;3854;463;231,1360691;33,91792657;24,11663067;6,838012959;8,323974082;116,0669546;17,78833693;7,732181425;7,399568035;8,323974082
104801;52632;15753;8256;11269;4414;2926;3056;9770;3907;464;225,8642241;33,95043103;24,28663793;6,306034483;8,420258621;113,4310345;17,79310345;9,512931034;6,586206897;8,420258621
110844;55654;15798;8276;10444;3604;3170;3324;10531;4167;465;238,3741935;33,97419355;22,46021505;6,817204301;8,961290323;119,6860215;17,79784946;7,750537634;7,148387097;8,961290323
108033;54249;15851;8296;11497;3970;3354;3798;10934;4176;466;231,8304721;34,01502146;24,67167382;7,197424893;8,961373391;116,4141631;17,80257511;8,519313305;8,150214592;8,961373391
111128;55797;15886;8316;10750;3922;2779;3294;10742;4621;467;237,9614561;34,01713062;23,01927195;5,950749465;9,895074946;119,4796574;17,80728051;8,398286938;7,053533191;9,895074946
107963;54215;15981;8336;11451;4918;3202;3522;10322;4227;468;230,6901709;34,1474359;24,46794872;6,841880342;9,032051282;115,8440171;17,81196581;10,50854701;7,525641026;9,032051282
111420;55944;16032;8356;11653;4130;2652;3172;9439;3340;469;237,5692964;34,18336887;24,84648188;5,654584222;7,121535181;119,2835821;17,81663113;8,805970149;6,763326226;7,121535181
106759;53614;16053;8376;11214;4434;2955;3382;11704;4925;470;227,1468085;34,15531915;23,85957447;6,287234043;10,4787234;114,0723404;17,8212766;9,434042553;7,195744681;10,4787234
103616;52043;16052;8396;11548;4090;2567;2962;11567;3517;471;219,9915074;34,08067941;24,51804671;5,450106157;7,467091295;110,4946921;17,82590234;8,683651805;6,288747346;7,467091295
110001;55236;16113;8416;12597;4262;2692;3016;12406;5859;472;233,0529661;34,13771186;26,68855932;5,703389831;12,41313559;117,0254237;17,83050847;9,029661017;6,389830508;12,41313559
112444;56458;16116;8436;10559;3388;3232;3736;11139;4581;473;237,7251586;34,07188161;22,32346723;6,832980973;9,684989429;119,3615222;17,83509514;7,162790698;7,898520085;9,684989429
107781;54127;16191;8456;10729;3884;2709;3304;10741;4422;474;227,3860759;34,15822785;22,6350211;5,715189873;9,329113924;114,1919831;17,83966245;8,194092827;6,970464135;9,329113924
111330;55902;16168;8476;10889;3770;2822;3028;11063;4223;475;234,3789474;34,03789474;22,92421053;5,941052632;8,890526316;117,6884211;17,84421053;7,936842105;6,374736842;8,890526316
108583;54529;16199;8496;11074;3928;2378;2846;9765;4091;476;228,1155462;34,03151261;23,26470588;4,995798319;8,594537815;114,5567227;17,8487395;8,25210084;5,978991597;8,594537815
116758;58617;16268;8516;11795;4916;3144;3682;10478;3526;477;244,7756813;34,1048218;24,72746331;6,591194969;7,392033543;122,8867925;17,85324948;10,30607966;7,719077568;7,392033543
115759;58118;16315;8536;11729;4582;3321;3290;12307;4696;478;242,1736402;34,13179916;24,5376569;6,947698745;9,824267782;121,5857741;17,85774059;9,585774059;6,882845188;9,824267782
104968;52723;16350;8556;11581;4004;2811;3192;11027;4705;479;219,1398747;34,13361169;24,17745303;5,868475992;9,822546973;110,0688935;17,86221294;8,35908142;6,66388309;9,822546973
119619;60049;16429;8576;12084;4304;2725;3330;11066;3842;480;249,20625;34,22708333;25,175;5,677083333;8,004166667;125,1020833;17,86666667;8,966666667;6,9375;8,004166667
115716;58098;16474;8596;10868;3720;2918;3142;11549;4693;481;240,5738046;34,24948025;22,59459459;6,066528067;9,756756757;120,7858628;17,87110187;7,733887734;6,532224532;9,756756757
117213;58847;16493;8616;12407;4976;2725;3124;12263;4288;482;243,1804979;34,21784232;25,7406639;5,653526971;8,89626556;122,0892116;17,87551867;10,32365145;6,481327801;8,89626556
113212;56847;16516;8636;11320;3938;2736;3056;10684;4005;483;234,3933747;34,19461698;23,436853;5,664596273;8,291925466;117,6956522;17,87991718;8,15320911;6,327122153;8,291925466
114555;57519;16547;8656;11936;4004;3369;3696;10449;3561;484;236,6838843;34,18801653;24,66115702;6,960743802;7,357438017;118,8409091;17,88429752;8,272727273;7,636363636;7,357438017
124372;62428;16590;8676;12451;5178;2769;3050;11001;3837;485;256,4371134;34,20618557;25,67216495;5,709278351;7,911340206;128,7175258;17,88865979;10,67628866;6,288659794;7,911340206
126911;63698;16657;8696;12153;4736;2434;2826;11745;5089;486;261,1337449;34,27366255;25,00617284;5,008230453;10,47119342;131,0658436;17,89300412;9,744855967;5,814814815;10,47119342
118636;59561;16678;8716;13196;5524;3167;3484;10937;3725;487;243,6057495;34,24640657;27,09650924;6,503080082;7,648870637;122,301848;17,8973306;11,34291581;7,154004107;7,648870637
118779;59633;16727;8736;12112;4240;3327;3968;12402;3672;488;243,3995902;34,27663934;24,81967213;6,817622951;7,524590164;122,1987705;17,90163934;8,68852459;8,131147541;7,524590164
124720;62604;16720;8756;11656;4280;3250;3684;11014;3677;489;255,0511247;34,19222904;23,83640082;6,646216769;7,519427403;128,0245399;17,90593047;8,752556237;7,533742331;7,519427403
122939;61714;16773;8776;11815;4544;3361;3576;11518;4057;490;250,8959184;34,23061224;24,1122449;6,859183673;8,279591837;125,9469388;17,91020408;9,273469388;7,297959184;8,279591837
122506;61498;16866;8796;12711;4506;2898;3222;11000;4143;491;249,503055;34,3503055;25,88798371;5,902240326;8,437881874;125,2505092;17,91446029;9,177189409;6,562118126;8,437881874
117467;58979;16841;8816;12329;3810;2927;3154;11367;4139;492;238,754065;34,2296748;25,05894309;5,949186992;8,412601626;119,8760163;17,91869919;7,743902439;6,410569106;8,412601626
118548;59520;16920;8836;13584;3832;2954;3506;11207;4568;493;240,4624746;34,32048682;27,55375254;5,99188641;9,265720081;120,7302231;17,92292089;7,772819473;7,111561866;9,265720081
129221;64857;16955;8856;11473;4170;3408;3906;10523;3927;494;261,5809717;34,32186235;23,22469636;6,898785425;7,949392713;131,2894737;17,92712551;8,441295547;7,906882591;7,949392713
122824;61659;16960;8876;11843;4328;3287;3842;10042;3564;495;248,1292929;34,26262626;23,92525253;6,64040404;7,2;124,5636364;17,93131313;8,743434343;7,761616162;7,2
123953;62224;17021;8896;11666;4000;3014;3402;10603;4268;496;249,9052419;34,31653226;23,52016129;6,076612903;8,60483871;125,4516129;17,93548387;8,064516129;6,858870968;8,60483871
123164;61830;17072;8916;12539;4376;3117;3312;10329;3248;497;247,8148893;34,3501006;25,22937626;6,271629779;6,535211268;124,4064386;17,93963783;8,804828974;6,663983903;6,535211268
130419;65458;17133;8936;13304;5412;2794;3134;11171;4808;498;261,8855422;34,40361446;26,71485944;5,610441767;9,654618474;131,4417671;17,9437751;10,86746988;6,293172691;9,654618474
124016;62257;17152;8956;11536;4318;3193;3744;11325;4136;499;248,5290581;34,37274549;23,11823647;6,398797595;8,288577154;124,7635271;17,94789579;8,653306613;7,503006012;8,288577154
125949;63224;17217;8976;12788;4896;3484;3596;10516;3280;500;251,898;34,434;25,576;6,968;6,56;126,448;17,952;9,792;7,192;6,56
123740;62120;17230;8996;13305;5074;3781;3810;10430;3444;501;246,9860279;34,39121756;26,55688623;7,546906188;6,874251497;123,992016;17,95608782;10,12774451;7,604790419;6,874251497
127777;64139;17235;9016;13184;5590;3062;3390;13884;6229;502;254,5358566;34,33266932;26,26294821;6,099601594;12,40836653;127,7669323;17,96015936;11,13545817;6,752988048;12,40836653
127428;63965;17282;9036;13840;5602;3088;3384;13216;5471;503;253,3359841;34,35785288;27,51491054;6,13916501;10,87673956;127,166998;17,96421471;11,13717694;6,727634195;10,87673956
132127;66315;17341;9056;11628;4104;3184;3312;12283;5373;504;262,156746;34,40674603;23,07142857;6,317460317;10,66071429;131,577381;17,96825397;8,142857143;6,571428571;10,66071429
124686;62595;17398;9076;12005;4616;3197;3584;13256;5253;505;246,9029703;34,45148515;23,77227723;6,330693069;10,4019802;123,950495;17,97227723;9,140594059;7,097029703;10,4019802
123037;61771;17353;9096;13506;5928;3015;3510;12180;3820;506;243,1561265;34,2944664;26,6916996;5,958498024;7,549407115;122,0770751;17,97628458;11,71541502;6,936758893;7,549407115
123424;61965;17492;9116;12406;4330;2673;3250;12845;5127;507;243,4398422;34,50098619;24,46942801;5,272189349;10,11242604;122,2189349;17,98027613;8,540433925;6,41025641;10,11242604
134905;67706;17495;9136;12671;3866;2946;3550;10557;3405;508;265,5610236;34,43897638;24,94291339;5,799212598;6,702755906;133,2795276;17,98425197;7,61023622;6,988188976;6,702755906
133948;67228;17512;9156;12712;4682;3376;4006;10732;3644;509;263,1591356;34,40471513;24,97445972;6,632612967;7,15913556;132,0785855;17,98821218;9,198428291;7,870333988;7,15913556
128609;64559;17563;9176;12512;4222;2593;3150;10564;4202;510;252,1745098;34,4372549;24,53333333;5,084313725;8,239215686;126,5862745;17,99215686;8,278431373;6,176470588;8,239215686
131636;66073;17614;9196;12104;4390;2993;3352;11024;3949;511;257,6046967;34,46966732;23,68688845;5,857142857;7,727984344;129,3013699;17,99608611;8,590998043;6,559686888;7,727984344
129195;64853;17651;9216;13175;5048;4149;3506;11943;4570;512;252,3339844;34,47460938;25,73242188;8,103515625;8,92578125;126,6660156;18;9,859375;6,84765625;8,92578125
132572;66542;17716;9238;11969;3994;3396;3382;11482;4149;513;258,4249513;34,53411306;23,33138402;6,619883041;8,087719298;129,711501;18,00779727;7,785575049;6,592592593;8,087719298
131633;66073;17761;9260;12232;4424;3724;3978;10917;3916;514;256,0953307;34,55447471;23,79766537;7,245136187;7,618677043;128,5466926;18,0155642;8,607003891;7,739299611;7,618677043
130406;65460;17780;9282;14432;5422;3408;3798;11289;4436;515;253,215534;34,52427184;28,02330097;6,617475728;8,613592233;127,1067961;18,02330097;10,52815534;7,374757282;8,613592233
130899;65707;17853;9304;14511;6234;2967;3444;11978;4549;516;253,6802326;34,59883721;28,12209302;5,75;8,815891473;127,3391473;18,03100775;12,08139535;6,674418605;8,815891473
129474;64995;17858;9326;11743;4470;3589;3512;10953;4178;517;250,4332689;34,54158607;22,71373308;6,941972921;8,081237911;125,7156673;18,03868472;8,646034816;6,79303675;8,081237911
134453;67485;17925;9348;13075;5430;3499;3860;11984;4489;518;259,5617761;34,6042471;25,24131274;6,754826255;8,666023166;130,2799228;18,04633205;10,48262548;7,451737452;8,666023166
134604;67561;17950;9370;14086;5440;3585;3698;13239;4742;519;259,3526012;34,58574181;27,14065511;6,907514451;9,136801541;130,1753372;18,0539499;10,48169557;7,125240848;9,136801541
143413;71966;18001;9392;13574;3988;3419;3528;12290;4123;520;275,7942308;34,61730769;26,10384615;6,575;7,928846154;138,3961538;18,06153846;7,669230769;6,784615385;7,928846154
138944;69732;18044;9414;12859;4354;3913;3938;11736;4587;521;266,6871401;34,63339731;24,68138196;7,510556622;8,804222649;133,8426104;18,06909789;8,357005758;7,558541267;8,804222649
135825;68173;18091;9436;13353;4548;3796;3898;11881;4631;522;260,2011494;34,65708812;25,58045977;7,272030651;8,87164751;130,5996169;18,07662835;8,712643678;7,46743295;8,87164751
140606;70564;18130;9458;13952;4918;3238;3794;12384;4002;523;268,8451243;34,66539197;26,67686424;6,191204589;7,652007648;134,9216061;18,08413002;9,403441683;7,254302103;7,652007648
139917;70220;18175;9480;13350;4906;3381;3734;12241;4687;524;267,0171756;34,6851145;25,47709924;6,452290076;8,944656489;134,0076336;18,09160305;9,36259542;7,125954198;8,944656489
134876;67700;18168;9502;12673;4394;3442;3990;11923;4365;525;256,9066667;34,60571429;24,13904762;6,556190476;8,314285714;128,952381;18,09904762;8,36952381;7,6;8,314285714
138639;69582;18225;9524;13950;4782;3261;3856;12386;3713;526;263,5722433;34,64828897;26,52091255;6,199619772;7,058935361;132,2851711;18,10646388;9,091254753;7,330798479;7,058935361
132876;66701;18238;9546;12836;4322;3212;3682;12684;4881;527;252,1366224;34,60721063;24,35673624;6,09487666;9,261859583;126,5673624;18,11385199;8,20113852;6,986717268;9,261859583
142371;71449;18337;9568;13257;4288;3579;3806;12277;4753;528;269,6420455;34,72916667;25,10795455;6,778409091;9,001893939;135,3200758;18,12121212;8,121212121;7,208333333;9,001893939
144536;72532;18326;9590;13574;5188;3156;3466;11770;4447;529;273,2249527;34,64272212;25,65973535;5,965973535;8,406427221;137,1115312;18,12854442;9,807183365;6,551984877;8,406427221
136861;68695;18377;9612;11918;4270;3290;3618;12010;4732;530;258,2283019;34,67358491;22,48679245;6,20754717;8,928301887;129,6132075;18,13584906;8,056603774;6,826415094;8,928301887
142940;71735;18442;9634;13548;5618;3704;3922;12623;4525;531;269,1902072;34,7306968;25,51412429;6,975517891;8,52165725;135,094162;18,14312618;10,58003766;7,38606403;8,52165725
141415;70973;18537;9656;12397;4670;3098;3506;15092;5769;532;265,8176692;34,84398496;23,30263158;5,823308271;10,84398496;133,4078947;18,15037594;8,778195489;6,590225564;10,84398496
139668;70100;18572;9678;12470;4134;2968;3504;12750;4850;533;262,0412758;34,84427767;23,39587242;5,5684803;9,099437148;131,5196998;18,1575985;7,756097561;6,574108818;9,099437148
140319;70426;18561;9700;13837;4986;4564;4442;11091;4228;534;262,7696629;34,75842697;25,91198502;8,546816479;7,917602996;131,8838951;18,16479401;9,337078652;8,31835206;7,917602996
141182;70858;18560;9722;13234;4626;3149;3646;13801;4329;535;263,8915888;34,69158879;24,7364486;5,885981308;8,091588785;132,4448598;18,17196262;8,646728972;6,814953271;8,091588785
146289;73412;18673;9744;12857;4774;2927;3536;12179;3536;536;272,9272388;34,83768657;23,9869403;5,460820896;6,597014925;136,9626866;18,17910448;8,906716418;6,597014925;6,597014925
143120;71828;18692;9766;12203;4184;3407;3730;12931;4950;537;266,5176909;34,80819367;22,72439479;6,344506518;9,217877095;133,7579143;18,18621974;7,791433892;6,945996276;9,217877095
153505;77021;18737;9788;12696;5002;4370;3862;14311;5287;538;285,3252788;34,82713755;23,59851301;8,12267658;9,827137546;143,16171;18,19330855;9,29739777;7,178438662;9,827137546
139106;69822;18786;9810;14871;5952;3706;4324;12435;5289;539;258,0816327;34,85343228;27,58998145;6,875695733;9,812615955;129,5398887;18,20037106;11,04267161;8,022263451;9,812615955
149147;74843;18835;9832;14220;6288;3581;4018;13126;4111;540;276,1981481;34,87962963;26,33333333;6,631481481;7,612962963;138,5981481;18,20740741;11,64444444;7,440740741;7,612962963
143888;72214;18854;9854;12903;4796;3570;3620;13207;5574;541;265,9667283;34,85027726;23,85027726;6,598890943;10,30314233;133,4824399;18,21441774;8,865064695;6,691312384;10,30314233
144511;72526;18875;9876;12153;4138;3070;3504;15677;6051;542;266,6254613;34,82472325;22,42250923;5,664206642;11,16420664;133,8118081;18,22140221;7,634686347;6,464944649;11,16420664
151144;75843;18978;9898;12421;4288;3511;3944;12828;5163;543;278,3499079;34,95027624;22,8747698;6,465930018;9,508287293;139,6740331;18,22836096;7,896869245;7,26335175;9,508287293
152763;76653;18993;9920;13324;4256;3401;3626;11965;4290;544;280,8143382;34,91360294;24,49264706;6,251838235;7,886029412;140,90625;18,23529412;7,823529412;6,665441176;7,886029412
151226;75885;19014;9942;14913;5584;3636;4164;13826;5738;545;277,4788991;34,88807339;27,36330275;6,671559633;10,52844037;139,2385321;18,24220183;10,24587156;7,640366972;10,52844037
144723;72634;19061;9964;13449;4524;3007;3586;12752;4858;546;265,0604396;34,91025641;24,63186813;5,507326007;8,897435897;133,029304;18,24908425;8,285714286;6,567765568;8,897435897
150318;75432;19110;9986;13388;4132;3832;3776;13212;5619;547;274,8043876;34,93601463;24,47531993;7,005484461;10,27239488;137,9012797;18,2559415;7,55393053;6,903107861;10,27239488
152839;76693;19167;10008;13215;3964;3489;3590;11416;4325;548;278,9032847;34,97627737;24,1149635;6,366788321;7,892335766;139,9507299;18,26277372;7,233576642;6,551094891;7,892335766
154808;77678;19204;10030;15109;5014;4207;3604;11519;4371;549;281,9817851;34,97996357;27,52094718;7,663023679;7,961748634;141,4899818;18,26958106;9,132969035;6,564663024;7,961748634
141597;71073;19175;10052;12743;4750;3087;3548;12540;5254;550;257,4490909;34,86363636;23,16909091;5,612727273;9,552727273;129,2236364;18,27636364;8,636363636;6,450909091;9,552727273
148792;74671;19304;10074;12205;4236;4294;3996;14271;6308;551;270,0399274;35,03448276;22,15063521;7,793103448;11,44827586;135,5190563;18,2831216;7,68784029;7,252268603;11,44827586
151175;75863;19333;10096;14021;5040;4092;4058;11790;4545;552;273,8677536;35,02355072;25,40036232;7,413043478;8,233695652;137,432971;18,28985507;9,130434783;7,351449275;8,233695652
149790;75171;19342;10118;13686;5556;4644;3794;12187;4446;553;270,8679928;34,97649186;24,74864376;8,397830018;8,039783002;135,9330922;18,2965642;10,04701627;6,860759494;8,039783002
154161;77357;19421;10140;13297;4980;3379;3958;12625;4879;554;278,2689531;35,05595668;24,00180505;6,099277978;8,806859206;139,633574;18,3032491;8,989169675;7,144404332;8,806859206
154962;77758;19472;10162;14081;5370;3683;4248;13439;5504;555;279,2108108;35,08468468;25,37117117;6,636036036;9,917117117;140,1045045;18,30990991;9,675675676;7,654054054;9,917117117
155181;77868;19491;10184;14118;5540;4628;4148;13519;5208;556;279,102518;35,0557554;25,39208633;8,323741007;9,366906475;140,0503597;18,31654676;9,964028777;7,460431655;9,366906475
160416;80486;19554;10206;13807;5180;4001;4236;13709;5635;557;288;35,1059246;24,78815081;7,183123878;10,11669659;144,4991023;18,32315978;9,299820467;7,60502693;10,11669659
159837;80197;19557;10228;14031;5474;3404;3728;13171;4365;558;286,4462366;35,0483871;25,14516129;6,100358423;7,822580645;143,7222222;18,3297491;9,810035842;6,681003584;7,822580645
156556;78557;19686;10250;13945;4494;3829;4096;11467;4363;559;280,0644007;35,21645796;24,94633274;6,849731664;7,805008945;140,5313059;18,33631485;8,039355993;7,327370304;7,805008945
153789;77174;19675;10272;13071;4856;3149;3792;12080;4776;560;274,6232143;35,13392857;23,34107143;5,623214286;8,528571429;137,8107143;18,34285714;8,671428571;6,771428571;8,528571429
159996;80278;19720;10294;13908;4736;3871;4542;13423;4997;561;285,197861;35,15151515;24,79144385;6,900178253;8,907308378;143,0980392;18,34937611;8,442067736;8,096256684;8,907308378
162027;81294;19741;10316;15002;5856;3714;3662;13149;4878;562;288,3042705;35,12633452;26,69395018;6,608540925;8,679715302;144,6512456;18,35587189;10,41992883;6,516014235;8,679715302
153414;76988;19788;10338;14464;6048;3335;4036;13414;5504;563;272,4937833;35,14742451;25,69094139;5,923623446;9,776198934;136,7460036;18,36234458;10,74245115;7,168738899;9,776198934
157069;78816;19769;10360;14545;4810;3189;3906;13367;4391;564;278,4911348;35,05141844;25,78900709;5,654255319;7,785460993;139,7446809;18,36879433;8,528368794;6,925531915;7,785460993
165462;83013;19878;10382;14332;4962;3674;4080;13356;4471;565;292,8530973;35,18230088;25,36637168;6,502654867;7,913274336;146,9256637;18,37522124;8,782300885;7,221238938;7,913274336
159593;80079;19913;10404;14549;4444;3695;4192;12700;4621;566;281,9664311;35,1819788;25,704947;6,528268551;8,164310954;141,4823322;18,38162544;7,851590106;7,406360424;8,164310954
159224;79895;19858;10426;13023;4770;3951;3794;12290;4825;567;280,8183422;35,02292769;22,96825397;6,968253968;8,509700176;140,9082892;18,38800705;8,412698413;6,691358025;8,509700176
165011;82789;19991;10448;14879;5310;3829;3752;13354;4980;568;290,5123239;35,19542254;26,19542254;6,741197183;8,767605634;145,7552817;18,3943662;9,348591549;6,605633803;8,767605634
165924;83246;20040;10470;14531;5184;3974;4590;14369;5168;569;291,6063269;35,21968366;25,53778559;6,984182777;9,082601054;146,3022847;18,40070299;9,110720562;8,066783831;9,082601054
165583;83076;20075;10492;13838;5116;4548;4992;12810;4765;570;290,4964912;35,21929825;24,27719298;7,978947368;8,359649123;145,7473684;18,40701754;8,975438596;8,757894737;8,359649123
155976;78273;20102;10514;13762;4346;3793;4128;14198;4379;571;273,1628722;35,20490368;24,10157618;6,642732049;7,669001751;137,0805604;18,41330998;7,611208406;7,229422067;7,669001751
165849;83210;20149;10536;15517;5866;4404;4456;13595;5318;572;289,9458042;35,22552448;27,12762238;7,699300699;9,297202797;145,472028;18,41958042;10,25524476;7,79020979;9,297202797
167350;83961;20252;10558;13078;4098;3920;3916;11709;4448;573;292,0593368;35,34380454;22,82373473;6,841186736;7,762652705;146,5287958;18,42582897;7,151832461;6,834205934;7,762652705
169617;85095;20245;10580;14968;5002;3751;4330;14126;4330;574;295,5;35,27003484;26,07665505;6,534843206;7,543554007;148,2491289;18,43205575;8,714285714;7,543554007;7,543554007
162622;81598;20294;10602;13637;4660;4322;4494;13351;5026;575;282,8208696;35,29391304;23,71652174;7,516521739;8,740869565;141,9095652;18,43826087;8,104347826;7,815652174;8,740869565
163539;82057;20335;10624;13227;4300;4015;4106;12598;4602;576;283,921875;35,30381944;22,96354167;6,970486111;7,989583333;142,4600694;18,44444444;7,465277778;7,128472222;7,989583333
169382;84979;20420;10646;15901;6092;2847;3422;15376;5478;577;293,5563258;35,38994801;27,55805893;4,934142114;9,493934142;147,2772964;18,45060659;10,55805893;5,93067591;9,493934142
169559;85068;20425;10668;14161;5428;3258;3708;14204;4346;578;293,3546713;35,33737024;24,5;5,636678201;7,519031142;147,1764706;18,4567474;9,39100346;6,415224913;7,519031142
175364;87971;20508;10690;14760;5964;3772;4482;12866;4701;579;302,8739206;35,41968912;25,49222798;6,514680484;8,119170984;151,9360967;18,46286701;10,30051813;7,740932642;8,119170984
171257;85918;20457;10712;14773;5424;3755;3764;13540;4771;580;295,2706897;35,27068966;25,47068966;6,474137931;8,225862069;148,1344828;18,46896552;9,351724138;6,489655172;8,225862069
164204;82392;20520;10734;13865;4802;4404;4336;14678;5779;581;282,6230637;35,31841652;23,86402754;7,580034423;9,946643718;141,8106713;18,47504303;8,265060241;7,462994836;9,946643718
168869;84725;20607;10756;14294;5578;4150;4184;14444;5047;582;290,152921;35,40721649;24,56013746;7,130584192;8,671821306;145,5756014;18,48109966;9,58419244;7,189003436;8,671821306
164770;82676;20586;10778;15818;6052;4140;3874;14620;5714;583;282,6243568;35,31046312;27,13207547;7,101200686;9,80102916;141,8113208;18,48713551;10,38078902;6,644939966;9,80102916
171991;86287;20681;10800;14028;4754;4178;4612;15229;6524;584;294,505137;35,41267123;24,02054795;7,154109589;11,17123288;147,7517123;18,49315068;8,140410959;7,897260274;11,17123288
176464;88524;20690;10822;14821;5310;3896;4264;13731;5037;585;301,6478632;35,36752137;25,33504274;6,65982906;8,61025641;151,3230769;18,4991453;9,076923077;7,288888889;8,61025641
171737;86161;20777;10844;15594;6096;3943;4396;15156;6005;586;293,0665529;35,4556314;26,6109215;6,728668942;10,24744027;147,0324232;18,50511945;10,40273038;7,501706485;10,24744027
170944;85765;20724;10866;17642;6854;3924;4440;15459;5521;587;291,2163543;35,30494037;30,05451448;6,68483816;9,405451448;146,1073254;18,51107325;11,67632027;7,563884157;9,405451448
178441;89514;20855;10888;14081;5458;3574;4214;13655;4341;588;303,4710884;35,46768707;23,94727891;6,078231293;7,382653061;152,2346939;18,5170068;9,282312925;7,166666667;7,382653061
177092;88840;20946;10910;15601;5182;4211;4250;12619;4393;589;300,6655348;35,56196944;26,48726655;7,149405772;7,458404075;150,8319185;18,5229202;8,797962649;7,215619694;7,458404075
175659;88124;20893;10932;17076;5442;5006;5094;14935;4784;590;297,7271186;35,41186441;28,94237288;8,484745763;8,108474576;149,3627119;18,52881356;9,223728814;8,633898305;8,108474576
174080;87335;20928;10954;14099;4966;3703;4240;14831;5933;591;294,5516074;35,41116751;23,85617597;6,265651438;10,03891709;147,7749577;18,53468697;8,402707276;7,17428088;10,03891709
184349;92470;21009;10976;14103;5094;3710;4258;12844;4901;592;311,4003378;35,48817568;23,82263514;6,266891892;8,278716216;156,1993243;18,54054054;8,60472973;7,192567568;8,278716216
175442;88017;21044;10998;14335;4804;4095;4634;14109;5028;593;295,8549747;35,48735245;24,17369309;6,905564924;8,478920742;148,4266442;18,54637437;8,101180438;7,81450253;8,478920742
182501;91547;21093;11020;15741;5618;4313;4282;14152;5889;594;307,2407407;35,51010101;26,5;7,260942761;9,914141414;154,1195286;18,55218855;9,457912458;7,208754209;9,914141414
174560;87577;21094;11042;14052;4784;3850;4178;14289;5703;595;293,3781513;35,45210084;23,61680672;6,470588235;9,58487395;147,1882353;18,55798319;8,040336134;7,021848739;9,58487395
181933;91264;21147;11064;15555;6008;3988;4446;14801;5089;596;305,2567114;35,48154362;26,09899329;6,691275168;8,538590604;153,1275168;18,56375839;10,08053691;7,459731544;8,538590604
178608;89602;21226;11086;16638;6410;4335;4664;12644;4893;597;299,1758794;35,55443886;27,86934673;7,261306533;8,195979899;150,0871022;18,56951424;10,73701843;7,81239531;8,195979899
179875;90236;21239;11108;14994;5744;3325;3908;15137;4806;598;300,7943144;35,51672241;25,0735786;5,560200669;8,036789298;150,8963211;18,57525084;9,605351171;6,535117057;8,036789298
178372;89485;21272;11130;14944;5458;3626;3976;13116;4831;599;297,7829716;35,51252087;24,94824708;6,053422371;8,065108514;149,3906511;18,58096828;9,111853088;6,637729549;8,065108514
173545;87072;21323;11152;15019;5946;4467;4548;13327;5570;600;289,2416667;35,53833333;25,03166667;7,445;9,283333333;145,12;18,58666667;9,91;7,58;9,283333333
180086;90343;21404;11174;15696;5952;4908;4528;13396;5692;601;299,6439268;35,61397671;26,11647255;8,166389351;9,470881864;150,3211314;18,59234609;9,903494176;7,534109817;9,470881864
183811;92206;21409;11196;16095;5826;3910;4124;13257;4724;602;305,333887;35,56312292;26,7358804;6,495016611;7,84717608;153,166113;18,59800664;9,677740864;6,850498339;7,84717608
186846;93724;21432;11218;15793;5940;4099;3986;13845;5214;603;309,8606965;35,54228856;26,1907131;6,797678275;8,646766169;155,4295191;18,60364842;9,850746269;6,610281924;8,646766169
175903;88253;21525;11240;14529;4694;3924;4056;13390;5296;604;291,2301325;35,63741722;24,05463576;6,496688742;8,768211921;146,1142384;18,60927152;7,771523179;6,715231788;8,768211921
186544;93574;21524;11262;14530;5410;3997;4074;13252;4212;605;308,3371901;35,5768595;24,01652893;6,60661157;6,961983471;154,6677686;18,61487603;8,94214876;6,733884298;6,961983471
189603;95104;21623;11284;14816;5768;3383;3924;14002;5452;606;312,8762376;35,68151815;24,44884488;5,582508251;8,99669967;156,9372937;18,62046205;9,518151815;6,475247525;8,99669967
194738;97672;21670;11306;14638;4482;3388;4050;14239;5380;607;320,8204283;35,70016474;24,11532125;5,5815486;8,863261944;160,9093904;18,62602965;7,383855025;6,672158155;8,863261944
