insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
30418;15332;7468;3934;5257;1862;1627;1478;4212;1869;247;123,1497976;30,23481781;21,28340081;6,587044534;7,566801619;62,07287449;15,92712551;7,538461538;5,983805668;7,566801619
31653;15950;7523;3952;5019;1832;1495;1520;5169;1622;248;127,6330645;30,33467742;20,23790323;6,028225806;6,540322581;64,31451613;15,93548387;7,387096774;6,129032258;6,540322581
32804;16526;7580;3970;4934;1792;1143;1382;5067;2113;249;131,7429719;30,44176707;19,81526104;4,590361446;8,485943775;66,36947791;15,9437751;7,196787149;5,550200803;8,485943775
31665;15957;7609;3988;5653;1888;1173;1432;5056;1765;250;126,66;30,436;22,612;4,692;7,06;63,828;15,952;7,552;5,728;7,06
31496;15873;7646;4006;5481;1984;1643;1846;4989;2076;251;125,4820717;30,46215139;21,83665339;6,545816733;8,270916335;63,23904382;15,96015936;7,90438247;7,354581673;8,270916335
31881;16066;7649;4024;4944;1620;1741;1848;4867;1975;252;126,5119048;30,3531746;19,61904762;6,908730159;7,837301587;63,75396825;15,96825397;6,428571429;7,333333333;7,837301587
32772;16512;7684;4042;5665;2178;1350;1418;4968;1942;253;129,5335968;30,3715415;22,39130435;5,335968379;7,675889328;65,26482213;15,97628458;8,608695652;5,604743083;7,675889328
29385;14819;7747;4060;5229;2018;1577;1878;4776;1929;254;115,6889764;30,5;20,58661417;6,208661417;7,594488189;58,34251969;15,98425197;7,94488189;7,393700787;7,594488189
32032;16143;7742;4078;5612;2376;1601;1546;4683;1687;255;125,6156863;30,36078431;22,00784314;6,278431373;6,615686275;63,30588235;15,99215686;9,317647059;6,062745098;6,615686275
33671;16963;7837;4096;6107;2248;1197;1532;4884;2171;256;131,5273438;30,61328125;23,85546875;4,67578125;8,48046875;66,26171875;16;8,78125;5,984375;8,48046875
31520;15888;7836;4116;5724;2296;1710;1576;4866;2081;257;122,6459144;30,49027237;22,27237354;6,653696498;8,097276265;61,82101167;16,0155642;8,93385214;6,13229572;8,097276265
33451;16854;7889;4136;5451;1830;1421;1594;5092;2047;258;129,6550388;30,57751938;21,12790698;5,507751938;7,934108527;65,3255814;16,03100775;7,093023256;6,178294574;7,934108527
33340;16799;7898;4156;6310;2380;1185;1430;5391;2106;259;128,7258687;30,49420849;24,36293436;4,575289575;8,131274131;64,86100386;16,04633205;9,189189189;5,521235521;8,131274131
34831;17545;7901;4176;5561;2240;1479;1486;4436;1767;260;133,9653846;30,38846154;21,38846154;5,688461538;6,796153846;67,48076923;16,06153846;8,615384615;5,715384615;6,796153846
35038;17649;7992;4196;5363;1702;1178;1304;4826;1823;261;134,2452107;30,62068966;20,54789272;4,513409962;6,98467433;67,62068966;16,07662835;6,521072797;4,996168582;6,98467433
34699;17480;7989;4216;5641;1712;1482;1728;5048;1696;262;132,4389313;30,49236641;21,53053435;5,65648855;6,473282443;66,71755725;16,09160305;6,534351145;6,595419847;6,473282443
