insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
9578;4857;3729;1972;2556;904;654;757;2260;838;138;69,4057971;27,02173913;18,52173913;4,739130435;6,072463768;35,19565217;14,28985507;6,550724638;5,485507246;6,072463768;1,329487998;1,113299131
9658;4898;3764;1990;2613;916;657;762;2283;851;139;69,48201439;27,07913669;18,79856115;4,726618705;6,122302158;35,23741007;14,31654676;6,589928058;5,482014388;6,122302158;1,33548746;1,110962275
9869;5004;3798;2008;2635;911;682;782;2303;865;140;70,49285714;27,12857143;18,82142857;4,871428571;6,178571429;35,74285714;14,34285714;6,507142857;5,585714286;6,178571429;1,316797595;1,130335586
9995;5067;3831;2026;2620;915;686;780;2296;858;141;70,88652482;27,17021277;18,58156028;4,865248227;6,085106383;35,93617021;14,36879433;6,489361702;5,531914894;6,085106383;1,311310681;1,117838613
10212;5176;3864;2044;2657;943;685;777;2397;904;142;71,91549296;27,21126761;18,71126761;4,823943662;6,366197183;36,45070423;14,3943662;6,64084507;5,471830986;6,366197183;1,340007428;1,104120649
10237;5189;3900;2062;2664;931;700;787;2398;873;143;71,58741259;27,27272727;18,62937063;4,895104895;6,104895105;36,28671329;14,41958042;6,51048951;5,503496503;6,104895105;1,311846329;1,108939915
10533;5338;3933;2080;2677;929;700;787;2413;900;144;73,14583333;27,3125;18,59027778;4,861111111;6,25;37,06944444;14,44444444;6,451388889;5,465277778;6,25;1,298114939;1,099694787
10624;5384;3965;2098;2678;944;704;795;2444;915;145;73,26896552;27,34482759;18,46896552;4,855172414;6,310344828;37,13103448;14,46896552;6,510344828;5,482758621;6,310344828;1,308156145;1,101678109
10621;5383;4002;2116;2759;981;712;817;2446;927;146;72,74657534;27,4109589;18,89726027;4,876712329;6,349315068;36,86986301;14,49315068;6,719178082;5,595890411;6,349315068;1,348256111;1,122859575
10956;5551;4032;2134;2820;974;710;812;2392;899;147;74,53061224;27,42857143;19,18367347;4,829931973;6,115646259;37,76190476;14,5170068;6,62585034;5,523809524;6,115646259;1,327710619;1,1068799
11016;5581;4071;2152;2819;992;720;829;2502;936;148;74,43243243;27,50675676;19,0472973;4,864864865;6,324324324;37,70945946;14,54054054;6,702702703;5,601351351;6,324324324;1,341288369;1,12089522
11081;5614;4103;2170;2824;973;733;833;2506;953;149;74,36912752;27,53691275;18,95302013;4,919463087;6,395973154;37,67785235;14,56375839;6,530201342;5,590604027;6,395973154;1,305010274;1,117239012
11274;5711;4136;2188;2870;1009;748;836;2533;962;150;75,16;27,57333333;19,13333333;4,986666667;6,413333333;38,07333333;14,58666667;6,726666667;5,573333333;6,413333333;1,342477804;1,112300738
